This is a list of accession numbers for annual reprots on Edgar
Name: 3M Company ; Ticker: MMM ; CIK: 66740
YEAR 2010 ; ACN 0000918160-11-000007
YEAR 2009 ; ACN 0000918160-10-000011
YEAR 2008 ; ACN 0000918160-09-000013
YEAR 2007 ; ACN 0001193125-08-038197
YEAR 2006 ; ACN 0001193125-07-040541
YEAR 2005 ; ACN 0001193125-06-043448
YEAR 2004 ; ACN 0001193125-05-044402
YEAR 2003 ; ACN 0001193125-04-037251
YEAR 2002 ; ACN 0000950130-03-002264
YEAR 2000 ; ACN 0000950130-01-000946
YEAR 1999 ; ACN 0000950130-00-000883
YEAR 1998 ; ACN 0000950130-99-000397
YEAR 1997 ; ACN 0000950130-98-000295
YEAR 1996 ; ACN 0000950130-97-000418
Name: Alamo Group Inc. ; Ticker: ALG ; CIK: 897077
YEAR 2013 ; ACN 0000897077-14-000007
YEAR 2012 ; ACN 0000897077-13-000009
YEAR 2011 ; ACN 0000897077-12-000004
YEAR 2010 ; ACN 0001003297-11-000103
YEAR 2009 ; ACN 0001003297-10-000062
YEAR 2008 ; ACN 0001003297-09-000068
YEAR 2007 ; ACN 0001003297-08-000054
YEAR 2006 ; ACN 0001003297-07-000072
YEAR 2005 ; ACN 0001003297-06-000101
YEAR 2004 ; ACN 0001003297-05-000049
YEAR 2003 ; ACN 0001003297-04-000130
YEAR 2002 ; ACN 0001003297-03-000058
YEAR 2001 ; ACN 0000912057-02-012201
YEAR 2000 ; ACN 0000912057-01-505768
YEAR 1999 ; ACN 0000890566-00-000423
YEAR 1998 ; ACN 0000890566-99-000380
YEAR 1997 ; ACN 0000890566-98-000548
YEAR 1996 ; ACN 0000897077-97-000013
Name: Alaska Air Group, Inc. ; Ticker: ALK ; CIK: 766421
YEAR 2013 ; ACN 0000766421-14-000010
YEAR 2012 ; ACN 0000766421-13-000010
YEAR 2011 ; ACN 0000766421-12-000018
YEAR 2010 ; ACN 0000766421-11-000020
YEAR 2009 ; ACN 0000766421-10-000009
YEAR 2008 ; ACN 0001193125-09-033073
YEAR 2007 ; ACN 0001193125-08-034506
YEAR 2006 ; ACN 0001193125-07-038398
YEAR 2005 ; ACN 0001193125-06-034170
YEAR 2004 ; ACN 0000950124-05-001049
YEAR 2003 ; ACN 0000891020-04-000322
YEAR 2002 ; ACN 0000891020-03-000742
YEAR 1997 ; ACN 0000766421-98-000001
YEAR 1994 ; ACN 0000766421-95-000002
YEAR 1993 ; ACN 0000766421-94-000003
Name: Albany International Corp/DE/ ; Ticker: AIN ; CIK: 819793
YEAR 2013 ; ACN 0000891092-14-001589
YEAR 2012 ; ACN 0000891092-13-001806
YEAR 2011 ; ACN 0000891092-12-001229
YEAR 2010 ; ACN 0001144204-11-012289
YEAR 2009 ; ACN 0001144204-10-012663
YEAR 2008 ; ACN 0001145443-09-000304
YEAR 2007 ; ACN 0001145443-08-000503
YEAR 2006 ; ACN 0001145443-07-000543
YEAR 2005 ; ACN 0001145443-06-000597
YEAR 2004 ; ACN 0001145443-05-000454
YEAR 2003 ; ACN 0001047469-04-007489
YEAR 2002 ; ACN 0001047469-03-009653
YEAR 2001 ; ACN 0000912057-02-011062
YEAR 2000 ; ACN 0000912057-01-008148
YEAR 1998 ; ACN 0001047469-99-010523
YEAR 1997 ; ACN 0001047469-98-009823
YEAR 1996 ; ACN 0000912057-97-008792
YEAR 1995 ; ACN 0000912057-96-005142
YEAR 1993 ; ACN 0000912057-94-001023
Name: Albemarle Corporation ; Ticker: ALB ; CIK: 915913
YEAR 2013 ; ACN 0000915913-14-000008
YEAR 2012 ; ACN 0001193125-13-062728
YEAR 2011 ; ACN 0001193125-12-071957
YEAR 2010 ; ACN 0001193125-11-047404
YEAR 2009 ; ACN 0001193125-10-042722
YEAR 2008 ; ACN 0001193125-09-040740
YEAR 2007 ; ACN 0001193125-08-042183
YEAR 2006 ; ACN 0001193125-07-044118
YEAR 2005 ; ACN 0001206774-06-000435
YEAR 2004 ; ACN 0001193125-05-049532
YEAR 2003 ; ACN 0001193125-04-032296
YEAR 2002 ; ACN 0000916641-03-000375
YEAR 2001 ; ACN 0000915913-02-000011
YEAR 1999 ; ACN 0000915913-00-000003
YEAR 1998 ; ACN 0000915913-99-000005
YEAR 1997 ; ACN 0000915913-98-000004
YEAR 1996 ; ACN 0000916641-97-000256
Name: Alcoa, Inc. ; Ticker: AA ; CIK: 4281
YEAR 2013 ; ACN 0001193125-14-051516
YEAR 2012 ; ACN 0001193125-13-062916
YEAR 2011 ; ACN 0001193125-12-065493
YEAR 2010 ; ACN 0001193125-11-039230
YEAR 2009 ; ACN 0001193125-10-034308
YEAR 2008 ; ACN 0001193125-09-029469
